0 3557 5304 0 84 1055
1 3345 5439 0 67 1149
2 3489 5314 0 112 1085
3 3593 5205 0 90 1112
4 3417 5384 0 84 1115
5 3395 5364 0 53 1188
6 3493 5303 0 87 1117
7 3593 5216 0 87 1104
8 3560 5234 0 79 1127
9 3495 5302 0 69 1134
10 3534 5274 0 68 1124
11 3363 5385 0 93 1159
12 3376 5377 0 65 1182
13 3574 5238 0 82 1106
14 3280 5534 0 58 1128
15 3496 5296 0 107 1101
16 3439 5368 0 60 1133
17 3413 5367 0 81 1139
18 3381 5438 0 40 1141
19 3379 5430 0 71 1120
20 3592 5182 0 106 1120
21 3388 5426 0 45 1141
22 3629 5151 0 126 1094
23 3251 5528 0 88 1133
24 3559 5192 0 81 1168
25 3419 5322 0 104 1155
26 3613 5270 0 87 1030
27 3318 5448 0 85 1149
28 3307 5551 0 60 1082
29 3624 5170 0 100 1106
30 3284 5503 0 80 1133
31 3449 5311 0 112 1128
32 3332 5436 0 87 1145
33 3494 5361 0 87 1058
34 3406 5443 0 56 1095
35 3372 5465 0 58 1105
36 3467 5372 0 71 1090
37 3665 5158 0 85 1092
38 3195 5514 0 78 1213
39 3384 5373 0 100 1143
40 3438 5324 0 90 1148
41 3464 5380 0 46 1110
42 3609 5257 0 55 1079
43 3271 5486 0 88 1155
44 3309 5463 0 132 1096
45 3395 5395 0 48 1162
46 3402 5441 0 64 1093
47 3451 5368 0 79 1102
48 3506 5350 0 82 1062
49 3369 5430 0 73 1128
50 3310 5489 0 59 1142
51 3457 5351 0 93 1099
52 3742 5075 0 107 1076
53 3347 5420 0 122 1111
54 3766 5064 0 96 1074
55 3290 5482 0 74 1154
56 3627 5207 0 113 1053
57 3484 5341 0 77 1098
58 3452 5312 0 112 1124
59 3304 5509 0 102 1085
60 3333 5495 0 62 1110
61 3397 5390 0 60 1153
62 3556 5244 0 128 1072
63 3408 5345 0 58 1189
64 3437 5369 0 64 1130
65 3624 5156 0 78 1142
66 3308 5465 0 49 1178
67 3493 5308 0 101 1098
68 3449 5358 0 87 1106
69 3357 5380 0 97 1166
70 3528 5299 0 72 1101
71 3584 5286 0 66 1064
72 3498 5324 0 112 1066
73 3382 5407 0 98 1113
74 3417 5392 0 74 1117
75 3275 5512 0 94 1119
76 3460 5324 0 108 1108
77 3316 5445 0 85 1154
78 3303 5454 0 89 1154
79 3477 5351 0 94 1078
80 3399 5409 0 58 1134
81 3298 5446 0 84 1172
82 3332 5429 0 139 1100
83 3426 5372 0 89 1113
84 3642 5207 0 92 1059
85 3323 5479 0 64 1134
86 3549 5338 0 55 1058
87 3506 5310 0 81 1103
88 3401 5396 0 74 1129
89 3251 5572 0 45 1132
90 3426 5373 0 92 1109
91 3606 5213 0 77 1104
92 3578 5238 0 96 1088
93 3387 5407 0 86 1120
94 3307 5498 0 78 1117
95 3385 5367 0 62 1186
96 3442 5361 0 82 1115
97 3551 5276 0 89 1084
98 3471 5296 0 78 1155
99 3467 5304 0 70 1159
100 3390 5357 0 86 1167
101 3359 5514 0 46 1081
102 3319 5498 0 109 1074
103 3388 5450 0 39 1123
104 3308 5498 0 58 1136
105 3571 5259 0 111 1059
106 3287 5572 0 52 1089
107 3325 5480 0 74 1121
108 3310 5523 0 49 1118
109 3481 5317 0 54 1148
110 3580 5220 0 97 1103
111 3415 5413 0 48 1124
112 3517 5269 0 77 1137
113 3524 5250 0 113 1113
114 3766 5064 0 90 1080
115 3565 5245 0 100 1090
116 3277 5463 0 74 1186
117 3615 5181 0 122 1082
118 3542 5270 0 98 1090
119 3405 5279 0 143 1173
120 3422 5394 0 61 1123
121 3441 5359 0 60 1140
122 3286 5481 0 72 1161
123 3588 5244 0 69 1099
124 3555 5295 0 42 1108
125 3700 5115 0 116 1069
126 3570 5164 0 148 1118
127 3252 5553 0 65 1130
128 3279 5518 0 74 1129
129 3485 5341 0 117 1057
130 3180 5549 0 78 1193
131 3345 5445 0 75 1135
132 3408 5411 0 96 1085
133 3379 5411 0 58 1152
134 3275 5511 0 101 1113
135 3509 5354 0 62 1075
