100,9872,0,0,126,2,
100,9856,0,0,139,5,
100,9832,0,0,157,11,
100,9808,0,0,178,14,
100,9771,0,0,207,22,
100,9729,0,0,245,26,
100,9691,0,0,278,31,
100,9633,0,0,330,37,
100,9575,0,0,381,44,
100,9511,0,0,437,52,
100,9436,0,0,503,61,
100,9360,0,0,570,70,
100,9262,81,0,579,78,
100,9156,102,0,652,90,
100,9071,111,0,716,102,
100,8954,129,0,799,118,
100,8820,148,0,899,133,
100,8694,178,0,978,150,
100,8537,210,0,1085,168,
100,8333,240,0,1236,191,
100,8136,284,0,1364,216,
100,7931,328,0,1501,240,
100,7743,380,0,1601,276,
100,7503,441,0,1750,306,
100,7279,500,0,1890,331,
100,7011,579,0,2037,373,
100,6748,668,0,2175,409,
100,6467,734,0,2349,450,
100,6206,822,0,2479,493,
100,5948,922,0,2606,524,
100,5675,1019,0,2744,562,
100,5392,1145,0,2846,617,
100,5109,1309,0,2910,672,
100,4849,1470,0,2944,737,
100,4596,1625,0,2988,791,
100,4342,1783,0,3019,856,
100,4107,1961,0,3021,911,
100,3902,2143,0,2990,965,
100,3678,2356,0,2948,1018,
100,3450,2566,0,2915,1069,
100,3282,2784,0,2805,1129,
100,3103,2991,0,2722,1184,
100,2946,3183,0,2633,1238,
100,2788,3394,0,2534,1284,
100,2649,3621,0,2395,1335,
100,2535,3846,0,2243,1376,
100,2433,4054,0,2096,1417,
100,2344,4254,0,1948,1454,
100,2252,4455,0,1799,1494,
100,2162,4639,0,1674,1525,
100,2096,4798,0,1548,1558,
100,2036,4971,0,1409,1584,
100,1992,5143,0,1243,1622,
100,1950,5275,0,1131,1644,
100,1912,5414,0,1013,1661,
100,1878,5531,0,908,1683,
100,1840,5653,0,805,1702,
100,1808,5766,0,704,1722,
100,1782,5846,0,631,1741,
100,1757,5933,0,561,1749,
100,1728,6001,0,516,1755,
100,1709,6066,0,465,1760,
100,1693,6136,0,404,1767,
100,1683,6187,0,357,1773,
100,1672,6232,0,317,1779,
100,1661,6263,0,292,1784,
100,1648,6296,0,267,1789,
100,1645,6330,0,231,1794,
100,1638,6357,0,206,1799,
100,1634,6389,0,177,1800,
100,1628,6417,0,154,1801,
100,1622,6440,0,131,1807,
100,1619,6460,0,111,1810,
100,1614,6479,0,93,1814,
100,1610,6492,0,84,1814,
100,1608,6507,0,70,1815,
100,1608,6516,0,59,1817,
100,1604,6523,0,55,1818,
100,1604,6532,0,45,1819,
100,1603,6539,0,38,1820,
100,1603,6541,0,32,1824,
100,1603,6545,0,26,1826,
100,1603,6547,0,24,1826,
100,1603,6552,0,18,1827,
100,1602,6554,0,15,1829,
100,1602,6556,0,12,1830,
100,1602,6558,0,9,1831,
100,1602,6562,0,5,1831,
100,1601,6563,0,5,1831,
100,1601,6563,0,5,1831,
100,1601,6566,0,2,1831,
100,1601,6566,0,2,1831,
100,1601,6566,0,2,1831,
100,1601,6566,0,2,1831,
100,1601,6566,0,2,1831,
100,1601,6566,0,2,1831,
100,1601,6566,0,2,1831,
100,1601,6567,0,1,1831,
100,1601,6567,0,1,1831,
100,1601,6567,0,1,1831,
